fec_vta,suc_vta,or_vta,stat_vta,cve_esp,clas_car,stat_reg,cve_gra,cve_serv,tip_com,par_dat,emi_stat,cor_sc,per_int,ser_id,zon_vta,vta_id,bol_vta,fi_vta,var_ord,fec_ord,cve_ord_dte,cve_vta_ord,imp_ant,diniper,digitover,gcioid,fec_arb
2024-10-19,2162,6614252142,1,70771,V,1,0,0,11,798707,0,4,4,0,106,184,3,0,0.00,1901-01-01 00:00:00,00822301  ,5335,163.00,2024-10-29 19:40:00,2,1,2024-11-21 03:16:03.455857000
2024-10-19,2162,6614262142,1,78743,V,1,0,0,10,798708,0,4,4,0,90,184,3,0,0.00,1901-01-01 00:00:00,00906908  ,6604,498.00,2024-10-27 19:42:00,2,1,2024-11-21 03:16:03.455857000
2024-10-19,2162,6614262142,1,78743,V,1,0,0,10,798708,0,4,4,0,90,184,3,0,0.00,1901-01-01 00:00:00,00906908  ,6604,498.00,2024-10-27 19:42:00,2,1,2024-11-21 03:16:03.455857000
2024-10-15,2127,15701332107,1,1748468,V,0,0,0,11,1748468,0,0,96,0,0,400,3,0,35040.00,1901-01-01 00:00:00,999999    ,0,365.00,2024-11-01 13:38:00,7,1,2024-11-21 03:16:03.455857000
2024-10-24,2162,6618532142,1,799338,V,0,0,0,11,799338,0,0,154,0,0,184,3,0,76230.00,1901-01-01 00:00:00,999999    ,0,495.00,2024-11-09 20:35:00,8,1,2024-11-21 03:16:03.455857000
2024-10-24,2162,6618532142,1,799338,V,0,0,0,11,799338,0,0,154,0,0,184,3,0,76230.00,1901-01-01 00:00:00,999999    ,0,495.00,2024-11-09 20:35:00,8,1,2024-11-21 03:16:03.455857000
2024-10-19,2075,2825542055,1,39805,V,1,0,0,11,383262,0,4,4,0,8,184,3,0,0.00,1901-01-01 00:00:00,96330     ,2330,218.00,2024-10-28 13:47:00,8,1,2024-11-21 03:16:03.455857000
2024-10-29,2131,4255362111,1,45189,V,1,0,0,11,538478,0,2,4,0,37,184,3,-2,0.00,1901-01-01 00:00:00,942682    ,5444,213.00,2024-11-10 18:02:00,5,1,2024-11-21 03:16:03.455857000
2024-10-22,1265,687353841245,1,103682,V,1,0,0,11,1635598,0,3,2,0,40,184,3,1,0.00,1901-01-01 00:00:00,00891204  ,7426,179.00,2024-11-03 17:09:00,3,1,2024-11-21 03:16:03.455857000
2024-10-25,2075,2827612055,1,383630,V,0,0,0,11,383630,0,0,39,0,0,184,3,0,15444.00,1901-01-01 00:00:00,999999    ,0,396.00,2024-11-09 17:57:00,5,1,2024-11-21 03:16:03.455857000
2024-10-29,2090,2921532070,1,43022,V,1,0,0,11,368526,0,2,2,0,57,184,3,0,0.00,1901-01-01 00:00:00,00834703  ,3433,526.00,2024-11-11 20:30:00,8,1,2024-11-21 03:16:03.455857000
2024-10-17,2041,2545442021,1,335158,V,0,0,0,11,335158,0,0,72,0,0,184,3,0,25848.00,1901-01-01 00:00:00,999999    ,0,359.00,2024-10-24 21:02:00,9,1,2024-11-21 03:16:03.455857000
2024-10-29,2523,18667782503,1,127700,V,1,0,0,10,1076713,0,2,0,0,23,184,1,2,0.00,1901-01-01 00:00:00,00971306  ,5580,330.00,2024-11-08 20:37:00,4,1,2024-11-21 03:16:03.455857000
2024-10-23,2155,5138142135,1,816674,V,1,0,0,10,816674,0,0,4,0,146,291,3,-1,0.00,1901-01-01 00:00:00,00835011  ,5063,266.00,2024-11-03 00:00:00,9,1,2024-11-21 03:16:03.455857000
2024-10-14,2144,9694592124,1,99623,V,1,0,0,11,1166453,0,4,4,0,69,184,3,0,0.00,1901-01-01 00:00:00,00823602  ,8198,281.00,2024-10-24 11:40:00,9,1,2024-11-21 03:16:03.455857000
2024-10-28,1265,687360121245,1,138587,V,1,0,0,11,1636588,0,3,3,0,14,184,3,0,0.00,1901-01-01 00:00:00,00991505  ,5221,312.00,2024-11-04 16:08:00,9,1,2024-11-21 03:16:03.455857000
2024-10-26,1265,687358071245,1,1636288,V,0,0,0,10,1636288,0,0,102,0,0,184,3,0,30294.00,1901-01-01 00:00:00,999999    ,0,297.00,2024-11-03 19:59:00,7,1,2024-11-21 03:16:03.455857000
2024-10-11,2202,5963352182,1,87927,V,1,0,0,12,750032,0,0,0,0,45,291,3,0,0.00,1901-01-01 00:00:00,977725    ,6560,258.00,2024-10-23 00:00:00,9,1,2024-11-21 03:16:03.455857000
2024-10-22,2090,2919052070,1,40736,V,1,0,0,11,368038,0,3,3,0,72,184,3,0,0.00,1901-01-01 00:00:00,00081     ,2376,461.00,2024-11-03 19:35:00,6,1,2024-11-21 03:16:03.455857000
